Commodity,Detailed_Comm_code,Detailed_Comm_Name,Abstract_Comm_code,Abstract_Comm_Name
JALI,1,Steel & Metal,1,Steel & Metal
JINDAL,1,Steel & Metal,1,Steel & Metal
KARTUN TEN ITEM,1,Steel & Metal,1,Steel & Metal
KHAMBA,1,Steel & Metal,1,Steel & Metal
KOPPER,1,Steel & Metal,1,Steel & Metal
LATE LOHE KI,1,Steel & Metal,1,Steel & Metal
LOHA,1,Steel & Metal,1,Steel & Metal
LOHA ,1,Steel & Metal,1,Steel & Metal
LOHA B,1,Steel & Metal,1,Steel & Metal
LOHA BURADA,1,Steel & Metal,1,Steel & Metal
LOHA BURADA ,1,Steel & Metal,1,Steel & Metal
LOHA COIL,1,Steel & Metal,1,Steel & Metal
LOHA CUTTER,1,Steel & Metal,1,Steel & Metal
LOHA KABAD,1,Steel & Metal,1,Steel & Metal
LOHA PALTE,1,Steel & Metal,1,Steel & Metal
LOHA PILATE,1,Steel & Metal,1,Steel & Metal
LOHA PIPE,1,Steel & Metal,1,Steel & Metal
LOHA PLATE,1,Steel & Metal,1,Steel & Metal
LOHA ROD,1,Steel & Metal,1,Steel & Metal
LOHA SARIA,1,Steel & Metal,1,Steel & Metal
LOHA SCRUP,1,Steel & Metal,1,Steel & Metal
LOHA WIRE,1,Steel & Metal,1,Steel & Metal
LOHAKHAND,1,Steel & Metal,1,Steel & Metal
LOHE K ANGEL,1,Steel & Metal,1,Steel & Metal
LOHE K PIPE,1,Steel & Metal,1,Steel & Metal
LOHE KA SAMAN,1,Steel & Metal,1,Steel & Metal
LOHE KI BELT,1,Steel & Metal,1,Steel & Metal
LOHE KI JALI,1,Steel & Metal,1,Steel & Metal
LOHE KI PLATE,1,Steel & Metal,1,Steel & Metal
LOHE KI SEET,1,Steel & Metal,1,Steel & Metal
LOHE KIN PLATE,1,Steel & Metal,1,Steel & Metal
LOHE KISEDI,1,Steel & Metal,1,Steel & Metal
LOHE KISEET,1,Steel & Metal,1,Steel & Metal
MATE,1,Steel & Metal,1,Steel & Metal
MATEL,1,Steel & Metal,1,Steel & Metal
matel (Metal),1,Steel & Metal,1,Steel & Metal
METAL,1,Steel & Metal,1,Steel & Metal
METAL ,1,Steel & Metal,1,Steel & Metal
METAL BOX,1,Steel & Metal,1,Steel & Metal
METAL PIPE,1,Steel & Metal,1,Steel & Metal
METAL ROD,1,Steel & Metal,1,Steel & Metal
METAL SHEET,1,Steel & Metal,1,Steel & Metal
METALS,1,Steel & Metal,1,Steel & Metal
METEL,1,Steel & Metal,1,Steel & Metal
METEL PIPE,1,Steel & Metal,1,Steel & Metal
METTAL,1,Steel & Metal,1,Steel & Metal
NETI,1,Steel & Metal,1,Steel & Metal
OLD IRON,1,Steel & Metal,1,Steel & Metal
OLDIRON,1,Steel & Metal,1,Steel & Metal
PAINAL,1,Steel & Metal,1,Steel & Metal
PEETAL,1,Steel & Metal,1,Steel & Metal
PIPE IRON,1,Steel & Metal,1,Steel & Metal
PIPE LOHA,1,Steel & Metal,1,Steel & Metal
PIPE LOHE,1,Steel & Metal,1,Steel & Metal
PLATE,1,Steel & Metal,1,Steel & Metal
PLATE IRON,1,Steel & Metal,1,Steel & Metal
PLATES,1,Steel & Metal,1,Steel & Metal
PLATR IRON,1,Steel & Metal,1,Steel & Metal
RAIL PATRI,1,Steel & Metal,1,Steel & Metal
RAIL PATRY,1,Steel & Metal,1,Steel & Metal
RAIL WIRES,1,Steel & Metal,1,Steel & Metal
RAILPATRI,1,Steel & Metal,1,Steel & Metal
RAILWAY IRON,1,Steel & Metal,1,Steel & Metal
RING,1,Steel & Metal,1,Steel & Metal
ROAD,1,Steel & Metal,1,Steel & Metal
ROD,1,Steel & Metal,1,Steel & Metal
RODE,1,Steel & Metal,1,Steel & Metal
RODLOHE KI,1,Steel & Metal,1,Steel & Metal
ROL,1,Steel & Metal,1,Steel & Metal
ROLE STIL,1,Steel & Metal,1,Steel & Metal
ROLL,1,Steel & Metal,1,Steel & Metal
ROLLS,1,Steel & Metal,1,Steel & Metal
ROOD,1,Steel & Metal,1,Steel & Metal
SAARIO,1,Steel & Metal,1,Steel & Metal
SACRP,1,Steel & Metal,1,Steel & Metal
SANGAL,1,Steel & Metal,1,Steel & Metal
SARIA,1,Steel & Metal,1,Steel & Metal
SARIYA,1,Steel & Metal,1,Steel & Metal
SARIYA  ,1,Steel & Metal,1,Steel & Metal
SCRAOP,1,Steel & Metal,1,Steel & Metal
SCRAP,1,Steel & Metal,1,Steel & Metal
SCREP,1,Steel & Metal,1,Steel & Metal
SCREP IRON,1,Steel & Metal,1,Steel & Metal
SEET IRON,1,Steel & Metal,1,Steel & Metal
SHEET,1,Steel & Metal,1,Steel & Metal
SILVER,1,Steel & Metal,1,Steel & Metal
SILVER BOX,1,Steel & Metal,1,Steel & Metal
SITTIL,1,Steel & Metal,1,Steel & Metal
Small Iron Rod,1,Steel & Metal,1,Steel & Metal
SOLDER IRON,1,Steel & Metal,1,Steel & Metal
SPAN,1,Steel & Metal,1,Steel & Metal
SRAIA,1,Steel & Metal,1,Steel & Metal
SRIYA,1,Steel & Metal,1,Steel & Metal
STEE PLATE,1,Steel & Metal,1,Steel & Metal
STEEL,1,Steel & Metal,1,Steel & Metal
STEEL ,1,Steel & Metal,1,Steel & Metal
STEEL  ,1,Steel & Metal,1,Steel & Metal
STEEL COAL,1,Steel & Metal,1,Steel & Metal
STEEL COIL,1,Steel & Metal,1,Steel & Metal
STEEL DRUM,1,Steel & Metal,1,Steel & Metal
STEEL IRON,1,Steel & Metal,1,Steel & Metal
STEEL MATERIAL,1,Steel & Metal,1,Steel & Metal
STEEL PARTS,1,Steel & Metal,1,Steel & Metal
STEEL PEPE,1,Steel & Metal,1,Steel & Metal
STEEL PIPE,1,Steel & Metal,1,Steel & Metal
STEEL PIPES,1,Steel & Metal,1,Steel & Metal
STEEL PLET,1,Steel & Metal,1,Steel & Metal
STEEL ROAD,1,Steel & Metal,1,Steel & Metal
STEEL ROD,1,Steel & Metal,1,Steel & Metal
STEEL RODE,1,Steel & Metal,1,Steel & Metal
STEEL SCRAP,1,Steel & Metal,1,Steel & Metal
STEEL STAGE,1,Steel & Metal,1,Steel & Metal
STEELCOIL,1,Steel & Metal,1,Steel & Metal
STEELPADS,1,Steel & Metal,1,Steel & Metal
STEELPAPER,1,Steel & Metal,1,Steel & Metal
STEELPIPE,1,Steel & Metal,1,Steel & Metal
STEELSHEET,1,Steel & Metal,1,Steel & Metal
STEER,1,Steel & Metal,1,Steel & Metal
STELL,1,Steel & Metal,1,Steel & Metal
STELL BARTAN,1,Steel & Metal,1,Steel & Metal
STIK,1,Steel & Metal,1,Steel & Metal
STIL,1,Steel & Metal,1,Steel & Metal
STIL ,1,Steel & Metal,1,Steel & Metal
STIL BOX,1,Steel & Metal,1,Steel & Metal
STIL COIL,1,Steel & Metal,1,Steel & Metal
STIL ITEM,1,Steel & Metal,1,Steel & Metal
STIL MATERIAL,1,Steel & Metal,1,Steel & Metal
STIL PALTE,1,Steel & Metal,1,Steel & Metal
STIL PART,1,Steel & Metal,1,Steel & Metal
STIL PIPE,1,Steel & Metal,1,Steel & Metal
STIL PLATE,1,Steel & Metal,1,Steel & Metal
STIL POL,1,Steel & Metal,1,Steel & Metal
STIL ROD,1,Steel & Metal,1,Steel & Metal
STIL STIL,1,Steel & Metal,1,Steel & Metal
STIL THINGS,1,Steel & Metal,1,Steel & Metal
STILL,1,Steel & Metal,1,Steel & Metal
STILLS,1,Steel & Metal,1,Steel & Metal
STL,1,Steel & Metal,1,Steel & Metal
TAR,1,Steel & Metal,1,Steel & Metal
TAR BONDLE,1,Steel & Metal,1,Steel & Metal
TAR RING,1,Steel & Metal,1,Steel & Metal
TATA NAGAR,1,Steel & Metal,1,Steel & Metal
TATA STEEL,1,Steel & Metal,1,Steel & Metal
TATA STIL,1,Steel & Metal,1,Steel & Metal
TEEN,1,Steel & Metal,1,Steel & Metal
TEEN ,1,Steel & Metal,1,Steel & Metal
TEEN ROL,1,Steel & Metal,1,Steel & Metal
TEEN SET,1,Steel & Metal,1,Steel & Metal
TEENA,1,Steel & Metal,1,Steel & Metal
THAAR,1,Steel & Metal,1,Steel & Metal
TIN,1,Steel & Metal,1,Steel & Metal
TINA,1,Steel & Metal,1,Steel & Metal
TMT,1,Steel & Metal,1,Steel & Metal
TMT COMPI,1,Steel & Metal,1,Steel & Metal
TMT POP,1,Steel & Metal,1,Steel & Metal
TMT ROD,1,Steel & Metal,1,Steel & Metal
TMT SARIYA,1,Steel & Metal,1,Steel & Metal
TOWER SAMAN,1,Steel & Metal,1,Steel & Metal
TRON,1,Steel & Metal,1,Steel & Metal
WARE ROLL,1,Steel & Metal,1,Steel & Metal
WASTE IRON,1,Steel & Metal,1,Steel & Metal
WASTE STEEL,1,Steel & Metal,1,Steel & Metal
WASTEIRON,1,Steel & Metal,1,Steel & Metal
WEIGHT,1,Steel & Metal,1,Steel & Metal
WELD PIPE,1,Steel & Metal,1,Steel & Metal
WELDIND ROD,1,Steel & Metal,1,Steel & Metal
WELDING,1,Steel & Metal,1,Steel & Metal
WELDING ROD,1,Steel & Metal,1,Steel & Metal
WIRE,1,Steel & Metal,1,Steel & Metal
WIRE  ,1,Steel & Metal,1,Steel & Metal
YAMB,1,Steel & Metal,1,Steel & Metal
YAMBE,1,Steel & Metal,1,Steel & Metal
BAG CEMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
BHANGAR,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CA LOAD,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMCENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMEMT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENET,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENT ,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENT  ,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENT BAG,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENT MIXER,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENT POWDER,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENT TANKER,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENTRY,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMENTS,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMN,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CEMNT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CENENT TNKER,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CIMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CMEMET,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CMENT TANK,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CMT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
COSMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
CRMENT MIXER,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MAHA CEMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
MIXURE CEMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
Rasi (Cement/Material),2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
SAGAR CEMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
Sankar Cement,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
Sar Cement,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
WHITE CEMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
WHITE CEMENT',2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
WHITE POWDER,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
WHITECEMENT,2,Cement,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
BIG STONE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
DABAR,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
DAMAAR,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
DAMAR,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
DAMBER,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
DAMER,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
DAMMER,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GITI,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GITI SMALL SIZE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GITTI,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GRANAIT,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GRANET,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GRANITE,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
GRANITES,3,Stone,2,"Construction Materials (Cement, Bricks, Stones, Tiles, Blocks, etc.)"
